city_name,makat,route_short_name,direction,agency_name
יגור,10077,77,2,אגד
נשר,10077,77,2,אגד
חיפה,10077,77,2,אגד
ירושלים,10267,267,1,אלקטרה אפיקים תחבורה
גוש עציון,10267,267,1,אלקטרה אפיקים תחבורה
אפרת,10267,267,1,אלקטרה אפיקים תחבורה
ירושלים,15026,26א,3,אגד
רמת גן,16061,61,2,דן
תל אביב יפו,16061,61,2,דן
תל אביב יפו,11289,289,1,דן
חולון,11289,289,1,דן
אזור,11289,289,1,דן
קרית גת,10557,557,2,אגד
לכיש,10557,557,2,אגד
ערוגות,10557,557,2,אגד
נחל שורק,10557,557,2,אגד
בני עי''ש,10557,557,2,אגד
גדרות,10557,557,2,אגד
רמת גן,10557,557,2,אגד
גבעת שמואל,10557,557,2,אגד
בני ברק,10557,557,2,אגד
פתח תקווה,20025,25,2,אלקטרה אפיקים
אום אל פחם,68003,3,3,קווים
אום אל פחם,58004,4,3,קווים
מודיעין מכבים רעות,12111,111,1,קווים
חבל מודיעין,12111,111,1,קווים
תל אביב יפו,12111,111,1,קווים
תל אביב יפו,12111,111,2,קווים
חבל מודיעין,12111,111,2,קווים
מודיעין מכבים רעות,12111,111,2,קווים
מודיעין מכבים רעות,12150,150,1,קווים
חבל מודיעין,12150,150,1,קווים
לוד,12150,150,1,קווים
רמלה,12150,150,1,קווים
רמלה,12150,150,2,קווים
לוד,12150,150,2,קווים
חבל מודיעין,12150,150,2,קווים
מודיעין מכבים רעות,12150,150,2,קווים
מודיעין מכבים רעות,14222,222,1,קווים
חבל מודיעין,14222,222,1,קווים
תל אביב יפו,14222,222,1,קווים
תל אביב יפו,14222,222,2,קווים
חבל מודיעין,14222,222,2,קווים
מודיעין מכבים רעות,14222,222,2,קווים
חיפה,10018,18,2,אגד
חיפה,10019,19א,2,אגד
חיפה,10115,115,2,אגד
בני ברק,35002,2,2,דן
תל אביב יפו,13333,333,2,אלקטרה אפיקים
ראשון לציון,13333,333,2,אלקטרה אפיקים
ניר גלים,13333,333,2,אלקטרה אפיקים
אשדוד,13333,333,2,אלקטרה אפיקים
חיפה,11003,3,1,אגד
חיפה,11003,3,2,אגד
חיפה,10031,31,1,אגד
חיפה,10040,40א,1,אגד
חיפה,10040,40,2,אגד
חיפה,13112,112,1,אגד
נשר,13112,112,1,אגד
נשר,13112,112,2,אגד
חיפה,13112,112,2,אגד
חיפה,11136,136,1,אגד
קרית אתא,11136,136,1,אגד
קרית אתא,11136,136,2,אגד
חיפה,11136,136,2,אגד
קרית מוצקין,28023,23,1,אגד
קרית ים,28023,23,1,אגד
חיפה,28023,23,1,אגד
קרית אתא,28023,23,1,אגד
קרית אתא,28023,23,2,אגד
חיפה,28023,23,2,אגד
קרית ים,28023,23,2,אגד
קרית מוצקין,28023,23,2,אגד
קרית ביאליק,27024,24,1,אגד
קרית מוצקין,27024,24,1,אגד
חיפה,27024,24,1,אגד
קרית אתא,27024,24,1,אגד
חיפה,37018,18,3,אגד
חיפה,37018,18א,3,אגד
קרית אתא,27024,24,2,אגד
חיפה,27024,24,2,אגד
קרית ביאליק,27024,24,2,אגד
אילת,37010,10,3,אגד
אילת,41011,11,3,אגד
מודיעין מכבים רעות,15104,104,1,קווים
חבל מודיעין,15104,104,1,קווים
תל אביב יפו,15104,104,1,קווים
מודיעין מכבים רעות,10116,116,1,קווים
חבל מודיעין,10116,116,1,קווים
מטה בנימין,10116,116,1,קווים
גבעת זאב,10116,116,1,קווים
ירושלים,10116,116,1,קווים
ירושלים,10555,555,3,אגד
נחל שורק,10555,555,3,אגד
ערד,10555,555,3,אגד
ירושלים,10110,110,2,קווים
מטה בנימין,10110,110,2,קווים
גבעת זאב,10110,110,2,קווים
חבל מודיעין,10110,110,2,קווים
מודיעין מכבים רעות,10110,110,2,קווים
מודיעין מכבים רעות,14103,103,1,קווים
תל אביב יפו,14103,103,1,קווים
פתח תקווה,11202,202,2,קווים
בני ברק,11202,202,2,קווים
רמת גן,11202,202,2,קווים
אור יהודה,11202,202,2,קווים
חבל מודיעין,11202,202,2,קווים
מודיעין מכבים רעות,11202,202,2,קווים
מודיעין מכבים רעות,22027,27,1,קווים
חבל מודיעין,22027,27,1,קווים
כפר רות,22027,27,1,קווים
שילת,22027,27,1,קווים
לפיד,22027,27,1,קווים
כפר האורנים,22027,27,1,קווים
חשמונאים,22027,27,1,קווים
בנימינה גבעת עדה,22036,36,2,קווים
באקה אל ע'רביה,36014,14,1,קווים
ג'ת,36014,14,1,קווים
נתניה,24043,43,1,קווים
אודים,24043,43,1,קווים
בית יהושע,24043,43,1,קווים
חוף השרון,24043,43,1,קווים
אבן יהודה,24043,43,1,קווים
לב השרון,24043,43,1,קווים
תל מונד,24043,43,1,קווים
חרות,24043,43,1,קווים
משמרת,24043,43,1,קווים
כפר הס,24043,43,1,קווים
כפר הס,24043,43,2,קווים
משמרת,24043,43,2,קווים
חרות,24043,43,2,קווים
תל מונד,24043,43,2,קווים
לב השרון,24043,43,2,קווים
אבן יהודה,24043,43,2,קווים
בית יהושע,24043,43,2,קווים
חוף השרון,24043,43,2,קווים
נתניה,24043,43,2,קווים
חדרה,16068,68,1,קווים
קיסריה,16068,68,1,קווים
בנימינה גבעת עדה,16068,68,1,קווים
חוף הכרמל,16068,68,1,קווים
ג'סר א זרקא,16068,68,1,קווים
ג'סר א זרקא,16068,68,2,קווים
חוף הכרמל,16068,68,2,קווים
בנימינה גבעת עדה,16068,68,2,קווים
אור עקיבא,16068,68,2,קווים
קיסריה,16068,68,2,קווים
חדרה,16068,68,2,קווים
בנימינה גבעת עדה,86001,1,2,קווים
כפר הס,21042,42,2,קווים
משמרת,21042,42,2,קווים
חרות,21042,42,2,קווים
תל מונד,21042,42,2,קווים
קדימה צורן,21042,42,2,קווים
צור משה,21042,42,2,קווים
פרדסיה,21042,42,2,קווים
עמק חפר,21042,42,2,קווים
בית יצחק שער חפר,21042,42,2,קווים
נתניה,21042,42,2,קווים
מודיעין מכבים רעות,11201,201,1,קווים
חבל מודיעין,11201,201,1,קווים
נמל תעופה בן גוריון,11201,201,1,קווים
יהוד מונוסון,11201,201,1,קווים
דרום השרון,11201,201,1,קווים
אור יהודה,11201,201,1,קווים
רמת גן,11201,201,1,קווים
גבעת שמואל,11201,201,1,קווים
פתח תקווה,11201,201,1,קווים
מעלה אדומים,42087,87,2,אלקטרה אפיקים תחבורה
מעלה אדומים,32090,90,1,אלקטרה אפיקים תחבורה
ירושלים,10771,771,1,אקסטרה ירושלים
ירושלים,10771,771,2,אקסטרה ירושלים
אשקלון,19006,6,2,דן בדרום
חיפה,24085,85,1,אגד
מודיעין מכבים רעות,13105,105,1,קווים
תל אביב יפו,13105,105,1,קווים
מודיעין מכבים רעות,13153,153,1,קווים
חבל מודיעין,13153,153,1,קווים
לוד,13153,153,1,קווים
רמלה,13153,153,1,קווים
תל אביב יפו,11301,301,1,אגד
מקווה ישראל,11301,301,1,אגד
חולון,11301,301,1,אגד
ראשון לציון,11301,301,1,אגד
נס ציונה,11301,301,1,אגד
רחובות,11301,301,1,אגד
גבעת ברנר,11301,301,1,אגד
בית אלעזרי,11301,301,1,אגד
גדרה,11301,301,1,אגד
בני עי''ש,11301,301,1,אגד
באר טוביה,11301,301,1,אגד
נחל שורק,11301,301,1,אגד
יואב,11301,301,1,אגד
קרית מלאכי,11301,301,1,אגד
שפיר,11301,301,1,אגד
חוף אשקלון,11301,301,1,אגד
אשקלון,11301,301,1,אגד
מודיעין עילית,20054,54,1,קווים
מודיעין עילית,17059,59,2,קווים
מודיעין מכבים רעות,41083,83,2,קווים
מודיעין מכבים רעות,46080,80,1,קווים
מודיעין מכבים רעות,27088,88,2,קווים
מודיעין מכבים רעות,37084,84,1,קווים
ירושלים,10407,407,3,אגד
אודים,10407,407,3,אגד
נתניה,10407,407,3,אגד
תל אביב יפו,15052,52,2,דן
בני ברק,15052,52,2,דן
רמת גן,15052,52,2,דן
גבעתיים,15052,52,2,דן
ירושלים,10316,316,2,קווים
מודיעין עילית,10316,316,2,קווים
מגדל העמק,11395,395,1,סופרבוס
נהריה,30055,55,1,נתיב אקספרס
מטה אשר,30055,55,1,נתיב אקספרס
כליל,30055,55,1,נתיב אקספרס
יאנוח ג'ת,30055,55,1,נתיב אקספרס
גיתה,30055,55,1,נתיב אקספרס
חיפה,10787,787,1,אגד
חיפה,10788,788,1,אגד
קרית אתא,10096,96,2,אגד
קרית מלאכי,10345,345,2,מטרופולין
באר טוביה,10345,345,2,מטרופולין
יואב,10345,345,2,מטרופולין
נחל שורק,10345,345,2,מטרופולין
גדרה,10345,345,2,מטרופולין
בני עי''ש,10345,345,2,מטרופולין
גדרות,10345,345,2,מטרופולין
תל אביב יפו,10345,345,2,מטרופולין
רמת גן,17063,63,2,דן
גבעתיים,17063,63,2,דן
תל אביב יפו,17063,63,2,דן
תל אביב יפו,17009,9,2,דן
קלע,31086,86,2,מועצה אזורית גולן
גולן,31086,86,2,מועצה אזורית גולן
שעל,31086,86,2,מועצה אזורית גולן
קצרין,31086,86,2,מועצה אזורית גולן
רמת גן,13104,104,2,דן
גבעתיים,13104,104,2,דן
תל אביב יפו,13104,104,2,דן
אשדוד,11319,319,1,אלקטרה אפיקים
חבל יבנה,11319,319,1,אלקטרה אפיקים
ניר גלים,11319,319,1,אלקטרה אפיקים
תל אביב יפו,11319,319,1,אלקטרה אפיקים
רעננה,21077,77,1,מטרופולין
רעננה,29084,84,1,מטרופולין
מודיעין עילית,10219,219,1,קווים
מטה בנימין,10219,219,1,קווים
בני ברק,10219,219,1,קווים
מודיעין עילית,12229,229,1,קווים
מטה בנימין,12229,229,1,קווים
בני ברק,12229,229,1,קווים
מודיעין עילית,12239,239,1,קווים
בני ברק,12239,239,1,קווים
מודיעין עילית,12249,249,1,קווים
מטה בנימין,12249,249,1,קווים
בני ברק,12249,249,1,קווים
חיפה,12080,80,2,אגד
ירושלים,11790,790,2,אקסטרה ירושלים
ירושלים,10791,791,2,אקסטרה ירושלים
ירושלים,10792,792,2,אקסטרה ירושלים
טמרה,18088,88,2,נתיב אקספרס
ירושלים,73001,1,1,כפיר
קצרין,20057,57,1,מועצה אזורית גולן
גולן,20057,57,1,מועצה אזורית גולן
עמק הירדן,20057,57,1,מועצה אזורית גולן
עין גב,20057,57,1,מועצה אזורית גולן
כינרת מושבה,20057,57,1,מועצה אזורית גולן
טבריה,20057,57,1,מועצה אזורית גולן
מודיעין עילית,46003,3,1,קווים
מודיעין עילית,46003,3,2,קווים
מודיעין עילית,44004,4,2,קווים
מודיעין עילית,32006,6,2,קווים
בת ים,18010,10,2,דן
תל אביב יפו,18010,10,2,דן
מודיעין עילית,82001,1,2,קווים
מודיעין עילית,66002,2,1,קווים
מודיעין עילית,66002,2,2,קווים
הרצליה,19029,29,2,מטרופולין
כפר שמריהו,19029,29,2,מטרופולין
רעננה,19029,29,2,מטרופולין
כפר סבא,19029,29,2,מטרופולין
תל אביב יפו,22018,18,1,דן
בת ים,22018,18,1,דן
תל אביב יפו,15025,25,1,דן
בת ים,15025,25,1,דן
רהט,56003,3,1,גלים
חיפה,10034,34,1,אגד
רמת גן,14065,65,2,דן
תל אביב יפו,14065,65,2,דן
מודיעין עילית,26055,55,1,קווים
בני ברק,12220,220,2,קווים
רמת גן,12220,220,2,קווים
אור יהודה,12220,220,2,קווים
חבל מודיעין,12220,220,2,קווים
לפיד,12220,220,2,קווים
מטה בנימין,12220,220,2,קווים
מודיעין עילית,12220,220,2,קווים
בני ברק,11240,240,2,קווים
אור יהודה,11240,240,2,קווים
חבל מודיעין,11240,240,2,קווים
לפיד,11240,240,2,קווים
מטה בנימין,11240,240,2,קווים
מודיעין עילית,11240,240,2,קווים
מודיעין עילית,11310,310,1,קווים
מטה בנימין,11310,310,1,קווים
חבל מודיעין,11310,310,1,קווים
גבעת זאב,11310,310,1,קווים
ירושלים,11310,310,1,קווים
ירושלים,11310,310,2,קווים
גבעת זאב,11310,310,2,קווים
מטה בנימין,11310,310,2,קווים
חבל מודיעין,11310,310,2,קווים
לפיד,11310,310,2,קווים
מודיעין עילית,11310,310,2,קווים
ירושלים,10320,320,2,קווים
גבעת זאב,10320,320,2,קווים
מטה בנימין,10320,320,2,קווים
חבל מודיעין,10320,320,2,קווים
לפיד,10320,320,2,קווים
מודיעין עילית,10320,320,2,קווים
מודיעין עילית,10330,330,1,קווים
מטה בנימין,10330,330,1,קווים
חבל מודיעין,10330,330,1,קווים
גבעת זאב,10330,330,1,קווים
ירושלים,10330,330,1,קווים
מודיעין עילית,11340,340,1,קווים
מטה בנימין,11340,340,1,קווים
חבל מודיעין,11340,340,1,קווים
גבעת זאב,11340,340,1,קווים
ירושלים,11340,340,1,קווים
ירושלים,10436,436,3,אגד
מטה יהודה,10436,436,3,אגד
נחל שורק,10436,436,3,אגד
יואב,10436,436,3,אגד
באר טוביה,10436,436,3,אגד
קרית מלאכי,10436,436,3,אגד
שפיר,10436,436,3,אגד
חוף אשקלון,10436,436,3,אגד
אשקלון,10436,436,3,אגד
רחובות,17018,18,2,אגד
רהט,13450,450,1,גלים
בני שמעון,13450,450,1,גלים
להבים,13450,450,1,גלים
באר שבע,13450,450,1,גלים
בת ים,12125,125,2,דן
תל אביב יפו,12125,125,2,דן
חיפה,83001,1,1,סופרבוס
קרית ביאליק,83001,1,1,סופרבוס
קרית מוצקין,83001,1,1,סופרבוס
קרית מוצקין,83001,1,2,סופרבוס
קרית ביאליק,83001,1,2,סופרבוס
חיפה,83001,1,2,סופרבוס
קרית אתא,67002,2,2,סופרבוס
קרית ביאליק,67002,2,2,סופרבוס
חיפה,67002,2,2,סופרבוס
בני ברק,35002,2,1,דן
רהט,12451,451,1,גלים
בני שמעון,12451,451,1,גלים
להבים,12451,451,1,גלים
באר שבע,12451,451,1,גלים
טובא זנגריה,26063,63,2,נתיב אקספרס
כפר הנשיא,26063,63,2,נתיב אקספרס
ראש פינה,26063,63,2,נתיב אקספרס
חצור הגלילית,26063,63,2,נתיב אקספרס
באר שבע,11370,370,2,מטרופולין
תל אביב יפו,11370,370,2,מטרופולין
ירושלים,10556,556,3,אגד
נחל שורק,10556,556,3,אגד
לכיש,10556,556,3,אגד
קרית גת,10556,556,3,אגד
תל אביב יפו,18019,19,2,דן
חולון,18019,19,2,דן
בת ים,18019,19,2,דן
ראשון לציון,18019,19,2,דן
רמת גן,13139,139,1,מטרופולין
קרית אונו,13139,139,1,מטרופולין
סביון,13139,139,1,מטרופולין
אור יהודה,13139,139,1,מטרופולין
חמד,13139,139,1,מטרופולין
בית דגן,13139,139,1,מטרופולין
ראשון לציון,13139,139,1,מטרופולין
דימונה,24055,55,2,מטרופולין
רמת הנגב,24055,55,2,מטרופולין
ירוחם,24055,55,2,מטרופולין
מרחב עם,24055,55,2,מטרופולין
שדה בוקר,24055,55,2,מטרופולין
מדרשת בן גוריון,24055,55,2,מטרופולין
מצפה רמון,24055,55,2,מטרופולין
באר שבע,23060,60,1,מטרופולין
נאות חובב,23060,60,1,מטרופולין
רמת הנגב,23060,60,1,מטרופולין
משאבי שדה,23060,60,1,מטרופולין
טללים,23060,60,1,מטרופולין
שדה בוקר,23060,60,1,מטרופולין
מדרשת בן גוריון,23060,60,1,מטרופולין
מצפה רמון,23060,60,1,מטרופולין
באר שבע,22064,64,1,מטרופולין
נאות חובב,22064,64,1,מטרופולין
רמת הנגב,22064,64,1,מטרופולין
משאבי שדה,22064,64,1,מטרופולין
שדה בוקר,22064,64,1,מטרופולין
מדרשת בן גוריון,22064,64,1,מטרופולין
מצפה רמון,22064,64,1,מטרופולין
באר שבע,18065,65,1,מטרופולין
נאות חובב,18065,65,1,מטרופולין
רמת הנגב,18065,65,1,מטרופולין
מצפה רמון,18065,65,1,מטרופולין
מצפה רמון,18065,65,2,מטרופולין
רמת הנגב,18065,65,2,מטרופולין
נאות חובב,18065,65,2,מטרופולין
באר שבע,18065,65,2,מטרופולין
רמת הנגב,15068,68,2,מטרופולין
באר שבע,15068,68,2,מטרופולין
באר שבע,14160,160,1,מטרופולין
נאות חובב,14160,160,1,מטרופולין
רמת הנגב,14160,160,1,מטרופולין
מצפה רמון,14160,160,1,מטרופולין
מצפה רמון,14160,160,2,מטרופולין
רמת הנגב,14160,160,2,מטרופולין
נאות חובב,14160,160,2,מטרופולין
באר שבע,14160,160,2,מטרופולין
דימונה,10359,359,2,מטרופולין
ירוחם,10359,359,2,מטרופולין
רמת הנגב,10359,359,2,מטרופולין
באר שבע,10359,359,2,מטרופולין
מרחבים,10359,359,2,מטרופולין
תפרח,10359,359,2,מטרופולין
אופקים,10359,359,2,מטרופולין
נתיבות,10359,359,2,מטרופולין
ראשון לציון,11367,367,1,מטרופולין
נס ציונה,11367,367,1,מטרופולין
רחובות,11367,367,1,מטרופולין
גבעת ברנר,11367,367,1,מטרופולין
בית אלעזרי,11367,367,1,מטרופולין
גדרה,11367,367,1,מטרופולין
באר טוביה,11367,367,1,מטרופולין
יואב,11367,367,1,מטרופולין
לכיש,11367,367,1,מטרופולין
קרית גת,11367,367,1,מטרופולין
שפיר,11367,367,1,מטרופולין
בני שמעון,11367,367,1,מטרופולין
להבים,11367,367,1,מטרופולין
באר שבע,11367,367,1,מטרופולין
אשדוד,10368,368,1,מטרופולין
באר טוביה,10368,368,1,מטרופולין
חוף אשקלון,10368,368,1,מטרופולין
אשקלון,10368,368,1,מטרופולין
יואב,10368,368,1,מטרופולין
לכיש,10368,368,1,מטרופולין
שפיר,10368,368,1,מטרופולין
קרית גת,10368,368,1,מטרופולין
בני שמעון,10368,368,1,מטרופולין
באר שבע,10368,368,1,מטרופולין
קרית גת,13371,371,1,מטרופולין
שפיר,13371,371,1,מטרופולין
בית קמה,13371,371,1,מטרופולין
בני שמעון,13371,371,1,מטרופולין
רהט,13371,371,1,מטרופולין
שובל,13371,371,1,מטרופולין
משמר הנגב,13371,371,1,מטרופולין
מרחבים,13371,371,1,מטרופולין
באר שבע,13371,371,1,מטרופולין
מעלה אדומים,10120,120,2,אלקטרה אפיקים תחבורה
ירושלים,10120,120,2,אלקטרה אפיקים תחבורה
מעלה אדומים,31094,94,2,אלקטרה אפיקים תחבורה
מעלה אדומים,28028,28,1,אלקטרה אפיקים תחבורה
קדר,28028,28,1,אלקטרה אפיקים תחבורה
גוש עציון,28028,28,1,אלקטרה אפיקים תחבורה
ירושלים,13121,121,1,אלקטרה אפיקים תחבורה
מעלה אדומים,13121,121,1,אלקטרה אפיקים תחבורה
ירושלים,10124,124,1,אלקטרה אפיקים תחבורה
מעלה אדומים,10124,124,1,אלקטרה אפיקים תחבורה
מטה בנימין,11215,215,2,אלקטרה אפיקים תחבורה
כפר אדומים,11215,215,2,אלקטרה אפיקים תחבורה
מעלה אדומים,11215,215,2,אלקטרה אפיקים תחבורה
ירושלים,11215,215,2,אלקטרה אפיקים תחבורה
מעלה אדומים,14126,126,2,אלקטרה אפיקים תחבורה
ירושלים,14126,126,2,אלקטרה אפיקים תחבורה
ירושלים,15125,125,1,אלקטרה אפיקים תחבורה
מעלה אדומים,15125,125,1,אלקטרה אפיקים תחבורה
מעלה אדומים,15125,125,2,אלקטרה אפיקים תחבורה
ירושלים,15125,125,2,אלקטרה אפיקים תחבורה
ירושלים,14127,127,1,אלקטרה אפיקים תחבורה
מעלה אדומים,14127,127,1,אלקטרה אפיקים תחבורה
מעלה אדומים,14127,127,2,אלקטרה אפיקים תחבורה
מודיעין עילית,21056,56,1,קווים
מודיעין עילית,19058,58,2,קווים
ירושלים,11340,340,2,קווים
גבעת זאב,11340,340,2,קווים
מטה בנימין,11340,340,2,קווים
חבל מודיעין,11340,340,2,קווים
לפיד,11340,340,2,קווים
מודיעין עילית,11340,340,2,קווים
מעברות,19026,26,2,קווים
עמק חפר,19026,26,2,קווים
העוגן,19026,26,2,קווים
בית הלוי,19026,26,2,קווים
כפר מונש,19026,26,2,קווים
כפר חיים,19026,26,2,קווים
הדר עם,19026,26,2,קווים
כפר ידידיה,19026,26,2,קווים
בית יצחק שער חפר,19026,26,2,קווים
נתניה,19026,26,2,קווים
נתניה,17029,29,1,קווים
עמק חפר,17029,29,1,קווים
בת חן,17029,29,1,קווים
ביתן אהרן,17029,29,1,קווים
כפר ויתקין,17029,29,1,קווים
בית חרות,17029,29,1,קווים
בית ינאי,17029,29,1,קווים
חופית,17029,29,1,קווים
מכמורת,17029,29,1,קווים
עזריאל,17044,44,2,קווים
כפר יעבץ,17044,44,2,קווים
לב השרון,17044,44,2,קווים
פורת,17044,44,2,קווים
עין ורד,17044,44,2,קווים
עין שריד,17044,44,2,קווים
תל מונד,17044,44,2,קווים
אבן יהודה,17044,44,2,קווים
בית יהושע,17044,44,2,קווים
חוף השרון,17044,44,2,קווים
נתניה,17044,44,2,קווים
נתניה,18047,47,1,קווים
בית יצחק שער חפר,18047,47,1,קווים
לב השרון,18047,47,1,קווים
כפר יונה,18047,47,1,קווים
קדימה צורן,18047,47,1,קווים
קדימה צורן,18047,47,2,קווים
פרדסיה,18047,47,2,קווים
עמק חפר,18047,47,2,קווים
בית יצחק שער חפר,18047,47,2,קווים
נתניה,18047,47,2,קווים
בת חפר,17041,41,2,קווים
עמק חפר,17041,41,2,קווים
לב השרון,17041,41,2,קווים
בורגתה,17041,41,2,קווים
חניאל,17041,41,2,קווים
בית יצחק שער חפר,17041,41,2,קווים
נתניה,17041,41,2,קווים
קדימה צורן,33011,11,2,קווים
אבן יהודה,33011,11,2,קווים
בית יהושע,33011,11,2,קווים
חוף השרון,33011,11,2,קווים
קדימה צורן,29012,12,2,קווים
תל מונד,29012,12,2,קווים
לב השרון,29012,12,2,קווים
אבן יהודה,29012,12,2,קווים
בית יהושע,29012,12,2,קווים
חוף השרון,29012,12,2,קווים
טירה,22039,39,2,קווים
דרום השרון,22039,39,2,קווים
טייבה,22039,39,2,קווים
קלנסווה,22039,39,2,קווים
לב השרון,22039,39,2,קווים
עמק חפר,22039,39,2,קווים
כפר יונה,22039,39,2,קווים
בית יצחק שער חפר,22039,39,2,קווים
נתניה,22039,39,2,קווים
רמת גן,10640,640,1,קווים
קרית אונו,10640,640,1,קווים
גבעת שמואל,10640,640,1,קווים
רמת השרון,10640,640,1,קווים
הוד השרון,10640,640,1,קווים
רעננה,10640,640,1,קווים
כפר סבא,10640,640,1,קווים
בצרה,10640,640,1,קווים
דרום השרון,10640,640,1,קווים
תל מונד,10640,640,1,קווים
אבן יהודה,10640,640,1,קווים
בית יהושע,10640,640,1,קווים
חוף השרון,10640,640,1,קווים
נתניה,10640,640,1,קווים
נתניה,10640,640,2,קווים
אודים,10640,640,2,קווים
בית יהושע,10640,640,2,קווים
חוף השרון,10640,640,2,קווים
אבן יהודה,10640,640,2,קווים
בצרה,10640,640,2,קווים
רעננה,10640,640,2,קווים
הוד השרון,10640,640,2,קווים
רמת השרון,10640,640,2,קווים
בני ברק,10640,640,2,קווים
רמת גן,10640,640,2,קווים
קרית אונו,10640,640,2,קווים
חיפה,10123,123,1,אגד
ערד,44011,11,1,מטרופולין
חיפה,10123,123,2,אגד
מעלה אדומים,13121,121,2,אלקטרה אפיקים תחבורה
ירושלים,13121,121,2,אלקטרה אפיקים תחבורה
שדרות,70003,3,2,דן בדרום
שער הנגב,70003,3,2,דן בדרום
תעשיות שער הנגב,70003,3,2,דן בדרום
צפת,31085,85,2,נתיב אקספרס
צפת,27091,91,2,נתיב אקספרס
צפת,22088,88,2,נתיב אקספרס
תל אביב יפו,12285,285,2,תנופה
רמת גן,12285,285,2,תנופה
בני ברק,12285,285,2,תנופה
פתח תקווה,12285,285,2,תנופה
ראש העין,12285,285,2,תנופה
אורנית,12285,285,2,תנופה
אלקנה,12285,285,2,תנופה
ירושלים,10968,968,3,אגד
מטה יהודה,10968,968,3,אגד
מגידו,10968,968,3,אגד
יקנעם עילית,10968,968,3,אגד
עמק יזרעאל,10968,968,3,אגד
ביר אל מכסור,10968,968,3,אגד
כפר מנדא,10968,968,3,אגד
טמרה,10968,968,3,אגד
משגב,10968,968,3,אגד
כרמיאל,10968,968,3,אגד
בני ברק,18085,85,1,אגד
רמת גן,18085,85,1,אגד
קרית אונו,18085,85,1,אגד
אור יהודה,18085,85,1,אגד
צפריה,18085,85,1,אגד
כפר חב''ד,18085,85,1,אגד
ערד,10560,560,2,אגד
שפיר,10560,560,2,אגד
לכיש,10560,560,2,אגד
אשקלון,10560,560,2,אגד
באר טוביה,10560,560,2,אגד
אשדוד,10560,560,2,אגד
ירושלים,10116,116,2,קווים
גבעת זאב,10116,116,2,קווים
מטה בנימין,10116,116,2,קווים
חבל מודיעין,10116,116,2,קווים
מודיעין מכבים רעות,10116,116,2,קווים
מעלה אדומים,28088,88,1,אלקטרה אפיקים תחבורה
ערד,43012,12,3,מטרופולין
יבנה,41005,5,1,אלקטרה אפיקים
בן זכאי,41005,5,1,אלקטרה אפיקים
בני ברק,12161,161,2,דן
רמת גן,12161,161,2,דן
תל אביב יפו,12161,161,2,דן
חיפה,10036,36,1,אגד
רעננה,12167,167,1,אגד
הוד השרון,12167,167,1,אגד
רמת השרון,12167,167,1,אגד
בני ברק,12167,167,1,אגד
רמת גן,12167,167,1,אגד
אור יהודה,12167,167,1,אגד
גנות,12167,167,1,אגד
ראשון לציון,12167,167,1,אגד
באר יעקב,12167,167,1,אגד
ראשון לציון,18012,12,1,אגד
גן רווה,18012,12,1,אגד
פלמחים,18012,12,1,אגד
פלמחים,18012,12,2,אגד
גן רווה,18012,12,2,אגד
ראשון לציון,18012,12,2,אגד
נטעים,18012,12,2,אגד
גן שורק,18012,12,2,אגד
בית חנן,18012,12,2,אגד
נס ציונה,18012,12,2,אגד
מעלות תרשיחא,41002,2,1,נתיב אקספרס
מעלות תרשיחא,41002,2,2,נתיב אקספרס
מעלות תרשיחא,37004,4,1,נתיב אקספרס
מעונה,37004,4,1,נתיב אקספרס
מעלה יוסף,37004,4,1,נתיב אקספרס
מעלות תרשיחא,37004,4,2,נתיב אקספרס
מעונה,37004,4,2,נתיב אקספרס
מעלה יוסף,37004,4,2,נתיב אקספרס
שלומי,89001,1,1,נתיב אקספרס
עראמשה,18024,24,2,נתיב אקספרס
מטה אשר,18024,24,2,נתיב אקספרס
אדמית,18024,24,2,נתיב אקספרס
מעלה יוסף,18024,24,2,נתיב אקספרס
שלומי,18024,24,2,נתיב אקספרס
גשר הזיו,18024,24,2,נתיב אקספרס
נהריה,18024,24,2,נתיב אקספרס
נהריה,23036,36,1,נתיב אקספרס
מטה אשר,23036,36,1,נתיב אקספרס
מצובה,23036,36,1,נתיב אקספרס
שלומי,23036,36,1,נתיב אקספרס
שלומי,23036,36,2,נתיב אקספרס
מטה אשר,23036,36,2,נתיב אקספרס
מצובה,23036,36,2,נתיב אקספרס
נהריה,23036,36,2,נתיב אקספרס
הילה,23049,49,2,נתיב אקספרס
מעיליא,23049,49,2,נתיב אקספרס
נווה זיו,23049,49,2,נתיב אקספרס
מטה אשר,23049,49,2,נתיב אקספרס
בן עמי,23049,49,2,נתיב אקספרס
נהריה,23049,49,2,נתיב אקספרס
נהריה,23050,50,1,נתיב אקספרס
מטה אשר,23050,50,1,נתיב אקספרס
מעיליא,23050,50,1,נתיב אקספרס
מעלה יוסף,23050,50,1,נתיב אקספרס
מעלות תרשיחא,23050,50,1,נתיב אקספרס
צוריאל,23050,50,1,נתיב אקספרס
חורפיש,23050,50,1,נתיב אקספרס
חורפיש,23050,50,2,נתיב אקספרס
מעלה יוסף,23050,50,2,נתיב אקספרס
צוריאל,23050,50,2,נתיב אקספרס
מעלות תרשיחא,23050,50,2,נתיב אקספרס
מעונה,23050,50,2,נתיב אקספרס
מעיליא,23050,50,2,נתיב אקספרס
נווה זיו,23050,50,2,נתיב אקספרס
מטה אשר,23050,50,2,נתיב אקספרס
