stop_id,makat,route_short_name,route_long_name,agency_name,stop_name,city_name
49138,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,כ''ט בנובמבר,בת ים
49138,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,כ''ט בנובמבר,בת ים
49112,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,יוספטל,בת ים
49112,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,יוספטל,בת ים
49154,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,בנימין,בת ים
49154,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,בנימין,בת ים
49113,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,בלפור,בת ים
49113,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,בלפור,בת ים
49103,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,ז'בוטינסקי,בת ים
49103,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,ז'בוטינסקי,בת ים
49104,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,רוטשילד,בת ים
49104,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,רוטשילד,בת ים
49119,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,העצמאות,בת ים
49119,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,העצמאות,בת ים
49114,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,מחרוזת,תל אביב יפו
49114,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,מחרוזת,תל אביב יפו
49144,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,הבעש''ט,תל אביב יפו
49144,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,הבעש''ט,תל אביב יפו
49090,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,איסקוב,תל אביב יפו
49090,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,איסקוב,תל אביב יפו
49121,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,ארליך,תל אביב יפו
49121,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,ארליך,תל אביב יפו
49116,79001,1,הקוממיות-בת ים --> תחנה מרכזית פתח תקווה-פתח תקווה,תבל,אצטדיון בלומפילד,תל אביב יפו
49116,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,אצטדיון בלומפילד,תל אביב יפו
